{'crystal': 1, 'rot': 1, 'center_x': 831, 'center_y': 993}
{'crystal': 1, 'rot': 2, 'center_x': 834, 'center_y': 982}
{'crystal': 1, 'rot': 3, 'center_x': 825, 'center_y': 979}
{'crystal': 1, 'rot': 4, 'center_x': 830, 'center_y': 973}
{'crystal': 1, 'rot': 5, 'center_x': 831, 'center_y': 962}
{'crystal': 2, 'rot': 1, 'center_x': 832, 'center_y': 928}
{'crystal': 2, 'rot': 2, 'center_x': 832, 'center_y': 927}
{'crystal': 2, 'rot': 3, 'center_x': 833, 'center_y': 925}
{'crystal': 2, 'rot': 4, 'center_x': 831, 'center_y': 894}
{'crystal': 2, 'rot': 5, 'center_x': 831, 'center_y': 885}
{'crystal': 3, 'rot': 1, 'center_x': 831, 'center_y': 877}
{'crystal': 3, 'rot': 2, 'center_x': 834, 'center_y': 851}
{'crystal': 3, 'rot': 3, 'center_x': 831, 'center_y': 833}
{'crystal': 3, 'rot': 4, 'center_x': 833, 'center_y': 824}
{'crystal': 4, 'rot': 1, 'center_x': 831, 'center_y': 810}
{'crystal': 4, 'rot': 2, 'center_x': 829, 'center_y': 795}
{'crystal': 4, 'rot': 3, 'center_x': 826, 'center_y': 785}
{'crystal': 4, 'rot': 4, 'center_x': 825, 'center_y': 774}
{'crystal': 5, 'rot': 1, 'center_x': 823, 'center_y': 766}
{'crystal': 5, 'rot': 2, 'center_x': 831, 'center_y': 761}
